class,file,v_mean,v_p95,specular_ratio,stripe_like_ratio
vest,original(1)(1)_p0.jpg,142.08667490433675,212.0,0.003288424744897959,0.09444754464285714
vest,original(1)(2)_p1.jpg,88.78332270408163,159.0,0.004743303571428571,0.0185546875
vest,original(1)(2)_p2.jpg,144.45858577806123,255.0,0.14795918367346939,0.26552535076530615
vest,original(1)(2)_p3.jpg,151.63767538265307,255.0,0.1815609056122449,0.32386001275510207
vest,original(1)(2)_p4.jpg,168.76046316964286,251.0,0.11224489795918367,0.47500797193877553
vest,original(10)(1)_p0.jpg,130.5958625637755,199.0,0.010961415816326531,0.04330755739795918
vest,original(10)_p0.jpg,168.77088647959184,238.0,0.08474170918367346,0.14562739158163265
vest,original(10)_p1.jpg,140.1663145727041,243.0,0.09181680484693877,0.17215401785714285
vest,original(101)_p0.jpg,142.82766661352042,206.0,0.01789700255102041,0.040696747448979595
vest,original(101)_p1.jpg,127.18409199617346,186.0,0.0038464604591836736,0.03475765306122449
vest,original(101)_p2.jpg,115.18572624362245,180.0,0.005660076530612245,0.03533561862244898
vest,original(101)_p3.jpg,96.5887675382653,169.0,0.0009367028061224489,0.011120854591836735
vest,original(101)_p4.jpg,108.36740672831633,174.0,0.004185267857142857,0.02574936224489796
vest,original(101)_p5.jpg,150.5450813137755,220.0,0.021603954081632654,0.22391183035714285
vest,original(101)_p6.jpg,149.28836495535714,230.0,0.047951211734693876,0.1592594068877551
vest,original(102)_p0.jpg,131.93223852040816,194.0,0.0036471619897959183,0.03475765306122449
vest,original(103)_p0.jpg,135.96378746811226,197.0,0.012894610969387755,0.0509406887755102
vest,original(103)_p1.jpg,150.9054727359694,217.0,0.02694515306122449,0.1465640943877551
vest,original(103)_p2.jpg,134.64805883290816,239.0,0.0790218431122449,0.22154017857142858
vest,original(103)_p3.jpg,153.72596460459184,213.0,0.013811383928571428,0.2517936862244898
vest,original(103)_p4.jpg,154.64572704081633,242.0,0.09671954719387756,0.34243463010204084
vest,original(103)_p5.jpg,140.2512356505102,209.0,0.019013073979591837,0.21340880102040816
vest,original(104)_p0.jpg,164.40062978316325,225.0,0.0359733737244898,0.13205516581632654
vest,original(104)_p1.jpg,164.00593909438774,231.0,0.05169802295918367,0.19168526785714285
vest,original(104)_p2.jpg,144.97181919642858,235.0,0.06606744260204081,0.17530293367346939
vest,original(105)_p0.jpg,103.00286989795919,216.0,0.017040019132653062,0.006158322704081632
vest,original(106)_p0.jpg,158.42729591836735,231.0,0.050103635204081634,0.13123804209183673
vest,original(106)_p1.jpg,156.60090481505102,225.0,0.03888313137755102,0.14823820153061223
vest,original(106)_p2.jpg,145.67873086734693,234.0,0.060267857142857144,0.1912468112244898
vest,original(106)_p3.jpg,156.83998325892858,237.0,0.06845902423469388,0.24968112244897958
vest,original(107)_p0.jpg,79.49890385841837,203.0,0.029854910714285716,0.03599330357142857
vest,original(107)_p1.jpg,102.56493144132654,241.0,0.07882254464285714,0.008948501275510204
vest,original(108)_p0.jpg,118.8350605867347,230.0,0.04771205357142857,0.10485092474489796
vest,original(109)_p0.jpg,150.72690130739795,225.0,0.03962053571428571,0.1119858099489796
vest,original(109)_p1.jpg,145.15216438137756,225.0,0.03774713010204082,0.1279894770408163
vest,original(109)_p2.jpg,142.0939094387755,237.0,0.07106983418367346,0.16559709821428573
vest,original(11)(1)_p0.jpg,149.4280333227041,182.0,9.964923469387755e-05,0.030133928571428572
vest,original(11)(1)_p1.jpg,141.29984454719389,171.0,0.0,0.0048828125
vest,original(11)_p0.jpg,141.38347018494898,251.0,0.13313137755102042,0.17338966836734693
vest,original(11)_p1.jpg,154.609375,243.0,0.09426817602040816,0.22865513392857142
vest,original(11)_p2.jpg,161.58751195790816,246.0,0.12406329719387756,0.1002670599489796
vest,original(110)_p0.jpg,142.40915975765307,220.0,0.034677933673469385,0.20075334821428573
vest,original(111)_p0.jpg,133.96799266581633,189.0,0.02853954081632653,0.015864158163265307
vest,original(112)_p0.jpg,138.19967713647958,206.0,0.016721141581632654,0.06098533163265306
vest,original(112)_p1.jpg,149.88865194515307,207.0,0.015764508928571428,0.10512994260204081
vest,original(112)_p2.jpg,140.3114636479592,207.0,0.02112563775510204,0.08954480229591837
vest,original(112)_p3.jpg,144.02393574617346,219.0,0.02477279974489796,0.16320551658163265
vest,original(112)_p4.jpg,134.14309630102042,216.0,0.01468829719387755,0.19355867346938777
vest,original(113)_p0.jpg,160.25121572066325,241.0,0.08474170918367346,0.435726243622449
vest,original(113)_p1.jpg,135.27752311862244,243.0,0.08442283163265306,0.2049984056122449
vest,original(114)_p0.jpg,113.01215720663265,183.0,0.002590880102040816,0.010224011479591837
vest,original(114)_p1.jpg,115.50486288265306,185.0,0.0048828125,0.026606345663265307
vest,original(114)_p3.jpg,101.32918128188776,175.0,0.015405771683673469,0.023238201530612245
vest,original(115)_p0.jpg,172.56006855867346,252.0,0.1546356823979592,0.2903380102040816
vest,original(115)_p1.jpg,178.4254225127551,246.0,0.15750558035714285,0.4278140943877551
vest,original(115)_p2.jpg,153.3996133609694,225.0,0.03892299107142857,0.1843311543367347
vest,original(115)_p3.jpg,141.65977758290816,227.0,0.04243064413265306,0.10405373086734694
vest,original(116)_p0.jpg,142.00757334183675,214.0,0.022739955357142856,0.09638073979591837
vest,original(116)_p1.jpg,154.33785076530611,222.0,0.03342235331632653,0.16238839285714285
vest,original(116)_p2.jpg,153.62992267219389,236.0,0.06110491071428571,0.1581234056122449
vest,original(116)_p3.jpg,143.6113879145408,232.0,0.05462771045918367,0.15361926020408162
vest,original(116)_p4.jpg,161.5693359375,229.0,0.04609773596938776,0.2734972895408163
vest,original(117)_p0.jpg,99.73814174107143,231.0,0.05084103954081633,0.07898198341836735
vest,original(117)_p1.jpg,114.11694834183673,215.0,0.033701371173469385,0.08785076530612244
vest,original(117)_p2.jpg,127.18622448979592,223.0,0.02614795918367347,0.10604671556122448
vest,original(117)_p3.jpg,97.97042410714286,239.0,0.06907684948979592,0.01153938137755102
vest,original(118)_p0.jpg,150.48399633290816,241.0,0.09741709183673469,0.08763153698979592
vest,original(119)_p0.jpg,133.34090003188774,181.0,1.992984693877551e-05,0.012894610969387755
vest,original(119)_p1.jpg,96.96560108418367,140.0,0.0,0.001634247448979592
vest,original(12)_p0.jpg,94.72245695153062,184.0,0.007932079081632654,0.05685985331632653
vest,original(120)_p0.jpg,145.74477838010205,234.0,0.06060666454081633,0.21344866071428573
vest,original(120)_p1.jpg,165.95280612244898,250.0,0.14036591198979592,0.2158801020408163
vest,original(120)_p2.jpg,174.27734375,249.0,0.15076929209183673,0.3174625318877551
vest,original(121)_p0.jpg,182.33518016581633,250.0,0.14391342474489796,0.4174306441326531
vest,original(121)_p1.jpg,170.16446109693877,238.0,0.08452248086734694,0.27939652423469385
vest,original(121)_p2.jpg,166.9127869897959,236.0,0.06570870535714286,0.25516183035714285
vest,original(121)_p3.jpg,169.85190130739795,248.0,0.1338488520408163,0.38143734056122447
vest,original(122)_p0.jpg,187.0255500637755,254.0,0.19977678571428573,0.3935546875
vest,original(122)_p1.jpg,170.69377790178572,253.0,0.18598533163265307,0.3013392857142857
